Date : 2021-03-28 11:53:08
Directory : d:\seu\校友圈\talentCloud
Total : 161 files,  6631 codes, 657 comments, 1200 blanks, all 8488 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\annotation\TokenRequired.java                                                   | Java         |          9 |          0 |          3 |         12 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\annotation\WebResponse.java                                                     | Java         |          9 |          0 |          3 |         12 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\aspect\ConvertParametersAspect.java                                             | Java         |        108 |          0 |         14 |        122 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\aspect\WebResponseAspect.java                                                   | Java         |         21 |          0 |          5 |         26 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\AccessTokenConfig.java                                                   | Java         |         39 |          4 |          6 |         49 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\MyBatisConfiguration.java                                                | Java         |         20 |         29 |          5 |         54 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\RedisConfig.java                                                         | Java         |         21 |          4 |          5 |         30 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\RestTemplateConfig.java                                                  | Java         |         72 |         12 |         12 |         96 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\ServiceFailPromptConfig.java                                             | Java         |         12 |          0 |          6 |         18 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\ThreadPoolTaskExecutorConfig.java                                        | Java         |         18 |          3 |          4 |         25 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\httprequest\DistrictParameterConvert.java                                | Java         |         15 |          0 |          4 |         19 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\httprequest\HttpRequestConstValue.java                                   | Java         |         30 |          0 |          3 |         33 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\httprequest\JobFairParameterConvert.java                                 | Java         |         17 |          0 |          4 |         21 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\httprequest\PostParameterConvert.java                                    | Java         |         15 |          0 |          4 |         19 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\httprequest\RecruitmentParameterConvert.java                             | Java         |         15 |          0 |          4 |         19 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\config\httprequest\TimeParameterConvert.java                                    | Java         |         15 |          0 |          4 |         19 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\cos\QCloudActivityConfig.java                                                   | Java         |         18 |          0 |          4 |         22 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\cos\QCloudCOSConfig.java                                                        | Java         |         18 |          4 |          5 |         27 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\cos\QCloudCOSConfigurer.java                                                    | Java         |          7 |          0 |          4 |         11 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\cos\QCloudHolder.java                                                           | Java         |         42 |          0 |          7 |         49 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\redis\StringToObjectRedisStringManager.java                                     | Java         |         20 |          1 |         10 |         31 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\redis\StringToObjectRedisStringManagerImpl.java                                 | Java         |         52 |          0 |         12 |         64 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\token\TokenInterceptor.java                                                     | Java         |         49 |          8 |         13 |         70 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\common\token\TokenInterceptorConfig.java                                               | Java         |         12 |          3 |          3 |         18 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\controller\AccountController.java                                                      | Java         |        154 |         31 |         22 |        207 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\controller\BackgroundController.java                                                   | Java         |        155 |          0 |         31 |        186 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\controller\CommonController.java                                                       | Java         |        236 |         37 |         53 |        326 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\controller\CompanyController.java                                                      | Java         |         55 |         35 |         14 |        104 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\controller\RecommendController.java                                                    | Java         |         59 |         30 |         12 |        101 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\controller\SearchInformationController.java                                            | Java         |         85 |          0 |         12 |         97 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\exception\BizException.java                                                            | Java         |         18 |          0 |          7 |         25 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\exception\GlobalExceptionHandler.java                                                  | Java         |         23 |          1 |          5 |         29 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Account.java                                                          | Java         |         32 |          0 |          5 |         37 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\AlumniCircle.java                                                     | Java         |         30 |          0 |         10 |         40 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\AlumniCircleMember.java                                               | Java         |         16 |          0 |          5 |         21 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Banner.java                                                           | Java         |         12 |          0 |          3 |         15 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Company.java                                                          | Java         |         24 |          0 |          4 |         28 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\CompanyAlumni.java                                                    | Java         |         11 |          0 |          4 |         15 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Favorite.java                                                         | Java         |         18 |          0 |          8 |         26 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Friend.java                                                           | Java         |         20 |          8 |          9 |         37 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Job.java                                                              | Java         |         20 |          0 |          4 |         24 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\JobFair.java                                                          | Java         |         23 |          0 |          5 |         28 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Lecture.java                                                          | Java         |         22 |          0 |          4 |         26 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Message.java                                                          | Java         |         31 |          4 |         16 |         51 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Post.java                                                             | Java         |         26 |          0 |          4 |         30 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Recommend.java                                                        | Java         |         26 |          0 |          4 |         30 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\RecommendPicture.java                                                 | Java         |         11 |          0 |          3 |         14 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\Recruitment.java                                                      | Java         |         18 |          0 |          4 |         22 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\entity\SelectedGraduatesOrInternationalOrganization.java                     | Java         |         17 |          0 |          4 |         21 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\AccountMapper.java                                                    | Java         |         23 |          0 |          9 |         32 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\AlumniCircleMapper.java                                               | Java         |         17 |          0 |          6 |         23 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\BannerMapper.java                                                     | Java         |         12 |          0 |          5 |         17 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\CompanyMapper.java                                                    | Java         |         28 |          0 |         11 |         39 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\FavoriteMapper.java                                                   | Java         |         10 |          0 |          4 |         14 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\FriendMapper.java                                                     | Java         |         13 |          0 |          2 |         15 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\JobFairMapper.java                                                    | Java         |         13 |          0 |          4 |         17 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\JobMapper.java                                                        | Java         |          7 |          0 |          3 |         10 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\LectureMapper.java                                                    | Java         |         13 |          0 |          4 |         17 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\MessageMapper.java                                                    | Java         |         26 |          0 |          4 |         30 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\PostMapper.java                                                       | Java         |         24 |          0 |          4 |         28 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\RecommendMapper.java                                                  | Java         |         19 |          0 |          9 |         28 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\RecommendPictureMapper.java                                           | Java         |         14 |          0 |          6 |         20 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\RecruitmentMapper.java                                                | Java         |         13 |          0 |          4 |         17 |
| d:\seu\校友圈\talentCloud\src\main\java\seu\talents\cloud\talent\model\dao\mapper\SelectedGraduatesOrInternationalOrganizationMapper.java               | Java         |         12 |          0 |          4 |         16 |
